time,open,high,low,close
1499691600,1.1392,1.13938,1.1385,1.13918
1499695200,1.13917,1.13959,1.13867,1.1388
1499698800,1.13882,1.13959,1.13848,1.13954
1499702400,1.13953,1.14017,1.13945,1.13954
1499706000,1.13957,1.14073,1.13955,1.14059
1499709600,1.14059,1.14078,1.14024,1.14031
1499713200,1.14032,1.14035,1.13977,1.13999
1499716800,1.13999,1.14006,1.13978,1.13991
1499720400,1.13992,1.13995,1.13948,1.13979
1499724000,1.13977,1.13983,1.13935,1.13965
1499727600,1.13965,1.13978,1.13953,1.13963
1499731200,1.13963,1.13978,1.13928,1.13949
1499734800,1.13949,1.13975,1.13922,1.13932
1499738400,1.13931,1.13962,1.13924,1.13933
1499742000,1.13933,1.13951,1.13922,1.13944
1499745600,1.13943,1.13946,1.13871,1.13884
1499749200,1.13884,1.13886,1.1383,1.13832
1499752800,1.13832,1.13919,1.13828,1.13906
1499756400,1.13905,1.1399,1.1385,1.13901
1499760000,1.13901,1.13999,1.13901,1.1396
1499763600,1.13958,1.1396,1.13916,1.13951
1499767200,1.1395,1.13976,1.139,1.13957
1499770800,1.13958,1.13988,1.13938,1.13943
1499774400,1.13943,1.14139,1.13942,1.14017
1499778000,1.14017,1.14092,1.13935,1.14081
1499781600,1.14079,1.14248,1.13952,1.14194
1499785200,1.14194,1.14332,1.14147,1.143
1499788800,1.14298,1.14478,1.14284,1.14394
1499792400,1.14395,1.14766,1.14395,1.14665
1499796000,1.14665,1.14797,1.14659,1.14763
1499799600,1.14763,1.14765,1.14624,1.14634
1499803200,1.14633,1.14675,1.14607,1.14674
1499806800,1.14674,1.14674,1.14621,1.1464
1499810400,1.1464,1.14718,1.14626,1.14698
1499814000,1.14695,1.1474,1.14663,1.14738
1499817600,1.14741,1.14782,1.14721,1.14763
1499821200,1.14763,1.1479,1.14705,1.14713
1499824800,1.14713,1.14838,1.14702,1.14814
1499828400,1.14814,1.14819,1.14731,1.14805
1499832000,1.14805,1.14885,1.14747,1.14856
1499835600,1.14855,1.14893,1.14697,1.14723
1499839200,1.14724,1.14764,1.14559,1.14588
1499842800,1.14588,1.14643,1.1447,1.14482
1499846400,1.14483,1.14633,1.14419,1.14573
1499850000,1.14575,1.14609,1.14435,1.14545
1499853600,1.14544,1.14604,1.14489,1.14532
1499857200,1.14532,1.14618,1.14515,1.14533
1499860800,1.14536,1.14795,1.14248,1.14674
1499864400,1.14673,1.14688,1.14098,1.1414
1499868000,1.1414,1.14194,1.13916,1.14188
1499871600,1.14185,1.14274,1.14084,1.14103
1499875200,1.14104,1.14221,1.14092,1.14202
1499878800,1.14206,1.14238,1.14121,1.14185
1499882400,1.14185,1.14252,1.14136,1.1415
1499886000,1.14151,1.14224,1.14124,1.14204
1499889600,1.14203,1.14203,1.14106,1.14116
1499893200,1.14115,1.14177,1.14109,1.1413
1499896800,1.14124,1.1418,1.14117,1.14159
1499900400,1.1416,1.14197,1.14137,1.14186
1499904000,1.14186,1.14297,1.14169,1.14296
1499907600,1.14294,1.14368,1.14293,1.14343
1499911200,1.14343,1.14379,1.1432,1.14369
1499914800,1.14369,1.1439,1.14337,1.14338
1499918400,1.14338,1.14386,1.14335,1.14375
1499922000,1.14376,1.14495,1.14352,1.1447
1499925600,1.1447,1.14558,1.14435,1.14467
1499929200,1.14467,1.14528,1.1413,1.14215
1499932800,1.14214,1.14229,1.13956,1.14035
1499936400,1.14034,1.14081,1.13856,1.13959
1499940000,1.13962,1.14054,1.13759,1.13881
1499943600,1.13882,1.14128,1.13705,1.14107
1499947200,1.14104,1.14191,1.14021,1.14162
1499950800,1.14161,1.14177,1.13983,1.13987
1499954400,1.13988,1.14148,1.13908,1.14037
1499958000,1.14038,1.14078,1.13837,1.13839
1499961600,1.1384,1.13918,1.13826,1.13905
1499965200,1.13907,1.13994,1.13892,1.13972
1499968800,1.13973,1.14062,1.13964,1.14042
1499972400,1.14041,1.14068,1.1402,1.14067
1499976000,1.14067,1.14067,1.13958,1.13973
1499979600,1.13973,1.1402,1.13967,1.14
1499983200,1.13999,1.14016,1.13951,1.13953
1499986800,1.13955,1.14051,1.13955,1.14045
1499990400,1.14043,1.14043,1.13914,1.14016
1499994000,1.14017,1.14069,1.13969,1.14019
1499997600,1.14019,1.14084,1.14001,1.14082
1500001200,1.14079,1.14104,1.14061,1.14104
1500004800,1.14103,1.14108,1.14009,1.14009
1500008400,1.14007,1.14124,1.14007,1.14097
1500012000,1.14096,1.1418,1.14044,1.14157
1500015600,1.14156,1.14239,1.14091,1.14168
1500019200,1.14167,1.14202,1.14075,1.14077
1500022800,1.1408,1.14178,1.14072,1.14147
1500026400,1.14146,1.14181,1.14113,1.14142
1500030000,1.14142,1.14195,1.14109,1.14168
1500033600,1.14169,1.14682,1.14133,1.14614
1500037200,1.14617,1.14632,1.1436,1.14589
1500040800,1.1459,1.14633,1.14358,1.14442
1500044400,1.14442,1.14605,1.14442,1.14515
1500048000,1.14515,1.14599,1.14496,1.14595
1500051600,1.14592,1.14687,1.14571,1.1467
1500055200,1.14671,1.14689,1.14624,1.14657
1500058800,1.14655,1.14712,1.14646,1.14707
1500062400,1.14705,1.14719,1.14659,1.14685
1500249600,1.14739,1.14745,1.14638,1.14648
1500253200,1.14647,1.14674,1.14602,1.14616
1500256800,1.14616,1.1465,1.14568,1.14609
1500260400,1.14609,1.14657,1.14595,1.14634
1500264000,1.14634,1.14634,1.14583,1.14613
1500267600,1.14614,1.14633,1.1457,1.14613
1500271200,1.14613,1.14624,1.14466,1.14538
1500274800,1.14536,1.14578,1.14348,1.14408
1500278400,1.14409,1.14514,1.14393,1.14479
1500282000,1.14481,1.14599,1.14451,1.14593
1500285600,1.14592,1.14645,1.14552,1.14589
1500289200,1.14589,1.14703,1.14589,1.14636
1500292800,1.14636,1.14708,1.14605,1.14677
1500296400,1.14679,1.1468,1.14609,1.14671
1500300000,1.14672,1.1487,1.14659,1.14709
1500303600,1.14708,1.14771,1.14637,1.14692
1500307200,1.14691,1.14759,1.14686,1.14722
1500310800,1.14722,1.14807,1.14721,1.14779
1500314400,1.14778,1.14808,1.14758,1.14804
1500318000,1.14804,1.14845,1.14758,1.14823
1500321600,1.14823,1.14831,1.14777,1.1478
1500325200,1.14783,1.14809,1.14751,1.14783
1500328800,1.14783,1.14798,1.14756,1.14768
1500332400,1.14768,1.14792,1.14731,1.14732
1500336000,1.14733,1.1487,1.14714,1.14851
1500339600,1.14849,1.15318,1.14849,1.15293
1500343200,1.15294,1.15378,1.15253,1.1529
1500346800,1.15289,1.15354,1.15262,1.15278
1500350400,1.15278,1.15302,1.15232,1.15277
1500354000,1.15276,1.1535,1.15185,1.15221
1500357600,1.15221,1.15312,1.1513,1.15268
1500361200,1.15266,1.15296,1.15112,1.15285
1500364800,1.15285,1.1532,1.15171,1.15254
1500368400,1.15253,1.156,1.15192,1.15518
1500372000,1.15519,1.15641,1.15497,1.15573
1500375600,1.15575,1.156,1.15451,1.15498
1500379200,1.15498,1.15679,1.1545,1.15559
1500382800,1.15561,1.15814,1.15539,1.15796
1500386400,1.15797,1.15831,1.15726,1.15806
