time,open,high,low,close
1459274400,112.769,112.915,112.742,112.752
1459278000,112.751,112.789,112.611,112.64
1459281600,112.639,112.777,112.639,112.666
1459285200,112.663,112.749,112.644,112.687
1459288800,112.682,112.805,112.678,112.79
1459292400,112.789,112.79,112.661,112.674
1459296000,112.675,112.676,112.393,112.587
1459299600,112.588,112.697,112.509,112.624
1459303200,112.623,112.648,112.44,112.485
1459306800,112.484,112.529,112.409,112.495
1459310400,112.495,112.54,112.44,112.492
1459314000,112.493,112.493,112.218,112.291
1459317600,112.291,112.456,112.223,112.31
1459321200,112.31,112.363,112.015,112.074
1459324800,112.073,112.25,112.059,112.228
1459328400,112.223,112.343,112.207,112.295
1459332000,112.295,112.403,112.294,112.32
1459335600,112.323,112.438,112.21,112.351
1459339200,112.349,112.674,112.342,112.591
1459342800,112.59,112.668,112.533,112.542
1459346400,112.54,112.556,112.386,112.426
1459350000,112.426,112.642,112.402,112.592
1459353600,112.595,112.601,112.489,112.539
1459357200,112.538,112.572,112.481,112.528
1459360800,112.528,112.555,112.412,112.469
1459364400,112.468,112.482,112.395,112.445
1459368000,112.447,112.467,112.404,112.41
1459371600,112.41,112.48,112.407,112.444
1459375200,112.446,112.508,112.426,112.458
1459378800,112.458,112.462,112.329,112.38
1459382400,112.38,112.66,112.242,112.563
1459386000,112.563,112.646,112.351,112.361
1459389600,112.362,112.518,112.315,112.401
1459393200,112.402,112.431,112.303,112.403
1459396800,112.405,112.406,112.152,112.231
1459400400,112.231,112.396,112.192,112.27
1459404000,112.268,112.448,112.248,112.409
1459407600,112.409,112.487,112.313,112.436
1459411200,112.435,112.498,112.272,112.317
1459414800,112.318,112.461,112.287,112.451
1459418400,112.451,112.462,112.312,112.345
1459422000,112.347,112.362,112.204,112.304
1459425600,112.304,112.351,112.219,112.261
1459429200,112.261,112.282,112.11,112.258
1459432800,112.259,112.532,112.215,112.387
1459436400,112.388,112.485,112.339,112.434
1459440000,112.433,112.547,112.418,112.5
1459443600,112.5,112.576,112.48,112.529
1459447200,112.53,112.547,112.464,112.522
1459450800,112.521,112.562,112.482,112.544
1459454400,112.547,112.602,112.514,112.565
1459458000,112.562,112.58,112.493,112.53
1459461600,112.532,112.551,112.503,112.532
1459465200,112.533,112.579,112.481,112.513
1459468800,112.516,112.529,112.214,112.278
1459472400,112.279,112.387,112.09,112.162
1459476000,112.16,112.244,112.056,112.207
1459479600,112.207,112.3,112.119,112.299
1459483200,112.3,112.315,112.176,112.236
1459486800,112.241,112.358,112.137,112.174
1459490400,112.174,112.381,112.163,112.376
1459494000,112.378,112.416,112.147,112.283
1459497600,112.283,112.424,112.26,112.346
1459501200,112.343,112.361,112.25,112.263
1459504800,112.267,112.286,112.157,112.162
1459508400,112.161,112.226,112.04,112.116
1459512000,112.116,112.398,111.817,112.052
1459515600,112.052,112.119,111.869,112.029
1459519200,112.026,112.454,112.026,112.401
1459522800,112.4,112.424,112.056,112.062
1459526400,112.062,112.085,111.684,111.754
1459530000,111.755,111.854,111.716,111.806
1459533600,111.809,111.83,111.675,111.737
1459537200,111.737,111.775,111.59,111.646
1459540800,111.643,111.66,111.583,111.649
1459544400,111.649,111.649,111.649,111.649
1459548000,111.649,111.649,111.649,111.649
1459551600,111.649,111.649,111.649,111.649
1459555200,111.649,111.649,111.649,111.649
1459558800,111.649,111.649,111.649,111.649
1459562400,111.649,111.649,111.649,111.649
1459566000,111.649,111.649,111.649,111.649
1459569600,111.649,111.649,111.649,111.649
1459573200,111.649,111.649,111.649,111.649
1459576800,111.649,111.649,111.649,111.649
1459580400,111.649,111.649,111.649,111.649
1459584000,111.649,111.649,111.649,111.649
1459587600,111.649,111.649,111.649,111.649
1459591200,111.649,111.649,111.649,111.649
1459594800,111.649,111.649,111.649,111.649
1459598400,111.649,111.649,111.649,111.649
1459602000,111.649,111.649,111.649,111.649
1459605600,111.649,111.649,111.649,111.649
1459609200,111.649,111.649,111.649,111.649
1459612800,111.649,111.649,111.649,111.649
1459616400,111.649,111.649,111.649,111.649
1459620000,111.649,111.649,111.649,111.649
1459623600,111.649,111.649,111.649,111.649
1459627200,111.649,111.649,111.649,111.649
1459630800,111.649,111.649,111.649,111.649
1459634400,111.649,111.649,111.649,111.649
1459638000,111.649,111.649,111.649,111.649
1459641600,111.649,111.649,111.649,111.649
1459645200,111.649,111.649,111.649,111.649
1459648800,111.649,111.649,111.649,111.649
1459652400,111.649,111.649,111.649,111.649
1459656000,111.649,111.649,111.649,111.649
1459659600,111.649,111.649,111.649,111.649
1459663200,111.649,111.649,111.649,111.649
1459666800,111.649,111.649,111.649,111.649
1459670400,111.649,111.649,111.649,111.649
1459674000,111.649,111.649,111.649,111.649
1459677600,111.649,111.649,111.649,111.649
1459681200,111.649,111.649,111.649,111.649
1459684800,111.649,111.649,111.649,111.649
1459688400,111.649,111.649,111.649,111.649
1459692000,111.649,111.649,111.649,111.649
1459695600,111.649,111.649,111.649,111.649
1459699200,111.649,111.649,111.649,111.649
1459702800,111.649,111.649,111.649,111.649
1459706400,111.649,111.649,111.649,111.649
1459710000,111.649,111.649,111.649,111.649
1459713600,111.649,111.649,111.649,111.649
1459717200,111.602,111.731,111.559,111.581
1459720800,111.582,111.798,111.573,111.754
1459724400,111.758,111.794,111.655,111.692
1459728000,111.692,111.719,111.424,111.447
1459731600,111.447,111.53,111.319,111.419
1459735200,111.419,111.538,111.331,111.538
